deploy|/dɪˈplɔɪ/|部署|v
outage|/ˈaʊtɪdʒ/|停机中断|n
EMR|/ˌiː em ˈɑː/|电子病历|acr
rollback|/ˈrəʊlbæk/|回滚|n
ticket|/ˈtɪkɪt/|工单|n
HIS|/ˌeɪtʃ aɪ ˈes/|医院信息系统|acr
patch|/pætʃ/|补丁|n
backup|/ˈbækʌp/|备份|n
firewall|/ˈfaɪəwɔːl/|防火墙|n
latency|/ˈleɪtənsi/|延迟|n
PACS|/pæks/|医学影像系统|acr
LIS|/ˌel aɪ ˈes/|检验信息系统|acr
RIS|/ˌɑːr aɪ ˈes/|放射信息系统|acr
CIS|/ˌsiː aɪ ˈes/|临床信息系统|acr
NIS|/ˌen aɪ ˈes/|护理信息系统|acr
CPOE|/ˌsiː pəʊ ˈiː/|医嘱录入|acr
CDSS|/ˌsiː diː es ˈes/|临床决策支持|acr
ADT|/ˌeɪ diː ˈtiː/|出入院转科|acr
MPI|/ˌem piː ˈaɪ/|主患者索引|acr
EHR|/ˌiː eɪtʃ ˈɑː/|电子健康档案|acr
PHR|/ˌpiː eɪtʃ ˈɑː/|个人健康档案|acr
DICOM|/ˈdaɪkɒm/|医学影像标准|acr
HL7|/eɪtʃ el ˈsevn/|医疗信息交换标准|acr
FHIR|/ˈfaɪə/|快速医疗互操作资源|acr
IHE|/ˌaɪ eɪtʃ ˈiː/|医疗集成规范|acr
ICD-10|/ˌaɪ siː diː ˈten/|疾病分类编码|acr
SNOMED|/ˈsnəʊmed/|临床术语标准|acr
LOINC|/lɔɪŋk/|检验指标编码|acr
CPT|/ˌsiː piː ˈtiː/|操作编码|acr
DRG|/ˌdiː ɑː ˈdʒiː/|疾病相关分组|acr
interface engine|/ˈɪntəfeɪs ˈendʒɪn/|接口引擎|n
middleware|/ˈmɪdlweə/|中间件|n
worklist|/ˈwɜːklɪst/|工作列表|n
accession number|/əkˈseʃn ˈnʌmbə/|检查号|n
study UID|/ˈstʌdi juː aɪ ˈdiː/|检查唯一号|n
modality|/məʊˈdæləti/|检查设备类型|n
PACS archive|/pæks ˈɑːkaɪv/|影像归档|n
diagnostic workstation|/ˌdaɪəɡˈnɒstɪk ˈwɜːksteɪʃn/|诊断工作站|n
clinical workstation|/ˈklɪnɪkl ˈwɜːksteɪʃn/|临床工作站|n
nurse call|/nɜːs kɔːl/|护士呼叫|n
infusion pump|/ɪnˈfjuːʒn pʌmp/|输液泵|n
vital monitor|/ˈvaɪtl ˈmɒnɪtə/|生命体征监护仪|n
